용도지역,area_m2,비율(%)
중심상업지역,330490.2436772824,83.7
공공시설·녹지,39658.066923784805,10.0
기타,11100.76037577569,2.8
자연녹지지역,8746.203678256556,2.2
제1종일반주거지역,4644.866733997309,1.2
제2종일반주거지역,257.4879607597137,0.1
