time,n_stations,pop,emp
5,2,20240,21605
10,3,25136,22140
15,7,82562,33607
20,17,259680,143435
25,31,604016,238338
30,51,1032406,390868
35,66,1639484,581541
40,89,2608446,909395
45,131,3773566,1426271
50,195,5998120,2077061
55,248,7041046,2759798
60,305,8212260,3481735
